channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
channel1,1.076450e-06,5.961084e-01,5.519895e-01,5.750109e-07,2.070734e-01,8.362297e-01,1.732849e-06,5.760834e-01,5.654108e-01,3.180002e-05,1.028746e+00,3.052335e-01,9.612337e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel2,2.685986e-06,1.513653e+00,1.321903e-01,8.726034e-08,3.197838e-02,9.745312e-01,1.269574e-06,4.295107e-01,6.681599e-01,3.517164e-05,1.157883e+00,2.487280e-01,6.918216e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel3,1.371008e-07,8.052969e-02,9.359219e-01,2.201935e-07,8.410802e-02,9.330812e-01,1.605748e-07,5.662220e-02,9.549205e-01,2.343061e-05,8.039868e-01,4.226602e-01,9.612337e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel4,9.560604e-07,5.825489e-01,5.610602e-01,1.107484e-06,4.388352e-01,6.614041e-01,-2.562323e-07,-9.372907e-02,9.254478e-01,1.186898e-05,4.224836e-01,6.732691e-01,9.612337e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel5,4.517718e-07,2.242269e-01,8.228819e-01,1.723935e-06,5.564246e-01,5.787389e-01,2.516609e-06,7.498555e-01,4.545008e-01,3.189713e-05,9.248461e-01,3.565119e-01,9.612337e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel6,7.014678e-08,4.868574e-02,9.612337e-01,1.737449e-06,7.841928e-01,4.341473e-01,-1.373502e-06,-5.722908e-01,5.679704e-01,-8.351358e-06,-3.386105e-01,7.353704e-01,9.612337e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel7,-7.350406e-07,-4.680123e-01,6.404462e-01,9.387357e-07,3.886925e-01,6.980476e-01,-1.511049e-06,-5.775876e-01,5.643972e-01,6.675344e-06,2.482955e-01,8.042409e-01,9.612337e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel8,-2.278379e-07,-1.594286e-01,8.735428e-01,9.873830e-07,4.493067e-01,6.538504e-01,-5.560282e-07,-2.335772e-01,8.156275e-01,2.777100e-05,1.135223e+00,2.580688e-01,9.612337e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel9,-1.227701e-06,-9.558796e-01,3.406509e-01,4.529268e-07,2.293271e-01,8.189230e-01,-7.528491e-07,-3.518939e-01,7.254052e-01,-5.599621e-06,-2.546939e-01,7.993038e-01,9.084023e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel10,6.008209e-07,4.197430e-01,6.752659e-01,2.006673e-07,9.116580e-02,9.274809e-01,1.950648e-06,8.181078e-01,4.145763e-01,7.422983e-07,3.029467e-02,9.758718e-01,9.612337e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel11,1.093761e-07,9.286410e-02,9.261338e-01,1.741742e-08,9.616700e-03,9.923397e-01,2.078595e-07,1.059470e-01,9.157641e-01,9.525107e-07,4.724378e-02,9.623810e-01,9.612337e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel12,4.564444e-07,3.533441e-01,7.243201e-01,1.144217e-06,5.760172e-01,5.654554e-01,3.147279e-07,1.462644e-01,8.839065e-01,-2.110756e-05,-9.545472e-01,3.413223e-01,9.612337e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel13,-1.952833e-06,-1.758419e+00,8.068889e-02,7.629775e-07,4.467718e-01,6.556757e-01,-3.260103e-06,-1.762308e+00,8.002734e-02,8.175051e-06,4.300282e-01,6.677842e-01,6.918216e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel14,-1.680734e-06,-1.241878e+00,2.161943e-01,8.862545e-07,4.258489e-01,6.708204e-01,-2.428420e-06,-1.077202e+00,2.830965e-01,-3.195808e-06,-1.379464e-01,8.904654e-01,6.918216e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel15,-1.716676e-06,-1.360052e+00,1.758271e-01,6.926325e-07,3.568511e-01,7.216982e-01,-1.991404e-06,-9.471529e-01,3.450642e-01,1.248708e-05,5.779331e-01,5.641645e-01,6.918216e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
channel16,-1.728041e-06,-1.297275e+00,1.965021e-01,3.766021e-07,1.838560e-01,8.543715e-01,-1.126256e-06,-5.075848e-01,6.124803e-01,5.574610e-06,2.444792e-01,8.071894e-01,6.918216e-01,False,9.923397e-01,False,9.549205e-01,False,9.758718e-01,False
